,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
359,Matt Thomas,72,#21,Toronto Raptors,G,08/04/94,1.93,89.4,898310,USA,2017,Undrafted,Undrafted,Iowa State,NBA2k20
360,Chris Boucher,71,#25,Toronto Raptors,F-C,01/11/93,2.06,90.7,1588231,Canada,2017,Undrafted,Undrafted,Oregon,NBA2k20
361,Jevon Carter,71,#4,Phoenix Suns,G,09/14/95,1.85,90.7,1416852,USA,2018,2,32,West Virginia,NBA2k20
362,Deyonta Davis,71,#0,,F-C,12/02/96,2.08,108.9,250000,USA,2016,2,31,Michigan State,NBA2k20
363,Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/97,1.93,95.3,1925880,USA,2018,1,28,Cincinnati,NBA2k20
364,Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/98,1.98,83.5,2475840,USA,2017,1,21,,NBA2k20
365,Daniel Gafford,71,#12,Chicago Bulls,F,10/01/98,2.08,106.1,898310,USA,2019,2,38,Arkansas,NBA2k20
366,Treveon Graham,71,#12,Atlanta Hawks,G,10/28/93,1.96,99.3,1645357,USA,2015,Undrafted,Undrafted,VCU,NBA2k20
367,Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/98,1.91,93.0,1618520,USA,2017,2,31,Duke,NBA2k20
368,Luke Kornet,71,#2,Chicago Bulls,C,07/15/95,2.18,108.9,2250000,USA,2017,Undrafted,Undrafted,Vanderbilt,NBA2k20
369,Frank Mason,71,#15,Milwaukee Bucks,G,04/13/94,1.8,86.2,79568,USA,2017,2,34,Kansas,NBA2k20
370,Ben McLemore,71,#16,Houston Rockets,G,02/11/93,1.91,85.7,2028594,USA,2013,1,7,Kansas,NBA2k20
371,Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/99,2.06,88.5,1911600,Bosnia and Herzegovina,2018,1,29,,NBA2k20
372,Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,1.91,86.2,1416852,France,2018,2,31,,NBA2k20
373,Jerome Robinson,71,#1,Washington Wizards,G,02/22/97,1.93,86.2,3567720,USA,2018,1,13,Boston College,NBA2k20
374,JaKarr Sampson,71,#14,Indiana Pacers,F,03/20/93,2.01,101.2,1737145,USA,2014,Undrafted,Undrafted,St. John's,NBA2k20
375,Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,1.93,84.4,2000000,USA,2017,2,52,Xavier,NBA2k20
376,Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/99,1.96,94.8,1416852,USA,2018,2,37,Duke,NBA2k20
377,Moritz Wagner,71,#21,Washington Wizards,F,04/26/97,2.11,108.9,2063520,Germany,2018,1,25,Michigan,NBA2k20
378,Admiral Schofield,71,#1,Washington Wizards,F,03/30/97,1.96,109.3,1000000,USA,2019,2,42,Tennessee,NBA2k20
379,Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/98,2.06,111.1,1400000,Angola,2019,2,34,Maryland,NBA2k20
380,Alen Smailagic,71,#6,Golden State Warriors,F,08/18/00,2.08,97.5,898310,Serbia,2019,2,39,,NBA2k20
381,Eric Paschall,71,#7,Golden State Warriors,F,11/04/96,1.98,115.7,898310,USA,2019,2,41,Villanova,NBA2k20
382,Carsen Edwards,71,#4,Boston Celtics,G,03/12/98,1.8,90.7,1228026,USA,2019,2,33,Purdue,NBA2k20
383,KZ Okpala,71,#4,Miami Heat,F,04/28/99,2.03,97.5,898310,USA,2019,2,32,Stanford,NBA2k20
384,Shake Milton,71,#18,Philadelphia 76ers,C,09/26/96,1.96,93.0,1445697,USA,2018,2,54,SMU,NBA2k20
385,Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/97,2.06,102.1,1416852,Nigeria,2018,2,49,USC,NBA2k20
386,Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/96,2.03,106.6,1416852,USA,2018,2,48,Ohio State,NBA2k20
387,Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/00,2.03,90.7,2284800,USA,2019,1,23,,NBA2k20
388,Tony Bradley,70,#13,Utah Jazz,F-C,01/08/98,2.08,112.5,1962360,USA,2017,1,28,North Carolina,NBA2k20
389,Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/98,1.96,89.8,1416852,USA,2018,2,45,Kentucky,NBA2k20
390,Melvin Frazier,70,#35,Orlando Magic,F,08/30/96,1.96,91.2,1416852,USA,2018,2,35,Tulane,NBA2k20
391,Solomon Hill,70,#44,Miami Heat,F,03/18/91,1.98,102.5,13290395,USA,2013,1,23,Arizona,NBA2k20
392,Alize Johnson,70,#24,Indiana Pacers,F,04/26/96,2.01,91.2,1416852,USA,2018,2,50,Missouri State,NBA2k20
393,Skal Labissiere,70,#0,Atlanta Hawks,C-F,03/18/96,2.08,98.0,2338846,Haiti,2016,1,28,Kentucky,NBA2k20
394,Tyler Lydon,70,#0,,F-C,04/09/96,2.06,99.8,50000,USA,2017,1,24,Syracuse,NBA2k20
395,Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/97,2.01,93.0,1416852,Ukraine,2018,2,47,Kansas,NBA2k20
396,Johnathan Motley,70,#15,Los Angeles Clippers,F,05/04/95,2.03,104.3,79568,USA,2017,Undrafted,Undrafted,Baylor,NBA2k20
397,Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/93,1.96,102.1,1618520,Egypt,2016,2,58,Iowa State,NBA2k20
398,Miles Plumlee,70,#0,,F-C,09/01/88,2.11,115.7,12500000,USA,2012,1,26,Duke,NBA2k20
399,Caleb Swanigan,70,#50,Portland Trail Blazers,C,04/18/97,2.06,112.9,2033160,USA,2017,1,26,Purdue,NBA2k20
400,Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/99,2.06,97.1,1416852,USA,2018,2,41,Kentucky,NBA2k20
401,Jemerrio Jones,70,#0,,F,04/09/95,1.96,91.2,195077,USA,2018,Undrafted,Undrafted,New Mexico State,NBA2k20
402,Jordan Poole,70,#3,Golden State Warriors,G,06/19/99,1.93,88.0,1964760,USA,2019,1,28,Michigan,NBA2k20
403,Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,1.93,106.1,898310,USA,2019,2,46,Iowa State,NBA2k20
404,Yante Maten,70,#0,,F-C,08/14/96,2.03,108.9,100000,USA,2018,Undrafted,Undrafted,Georgia,NBA2k20
405,Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/92,1.98,97.5,1445697,Greece,2014,2,51,,NBA2k20
406,Naz Reid,70,#11,Minnesota Timberwolves,C,08/26/99,2.06,112.9,898310,USA,2019,Undrafted,Undrafted,LSU,NBA2k20
407,Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/99,1.98,98.0,898310,Canada,2019,2,47,Michigan,NBA2k20
408,Deonte Burton,70,#30,Oklahoma City Thunder,G,06/26/91,1.93,108.9,1416852,USA,2014,Undrafted,Undrafted,Iowa State,NBA2k20
409,Justin James,70,#10,Sacramento Kings,G,01/24/97,2.01,86.2,898310,USA,2019,2,40,Wyoming,NBA2k20
410,Henry Ellenson,69,#0,,F-C,01/13/97,2.08,109.8,79568,USA,2016,1,18,Marquette,NBA2k20
411,Devonte Graham,69,#0,Charlotte Hornets,G,02/22/95,1.85,83.9,1416852,USA,2018,2,34,Kansas,NBA2k20
412,Amile Jefferson,69,#0,,F-C,05/07/93,2.06,101.6,1529007,USA,2017,Undrafted,Undrafted,Duke,NBA2k20
413,Khyri Thomas,69,#13,Detroit Pistons,G,05/08/96,1.91,95.3,1416852,USA,2018,2,38,Creighton,NBA2k20
414,Theo Pinson,69,#0,New York Knicks,G,11/05/95,1.96,99.8,1445697,USA,2018,Undrafted,Undrafted,North Carolina,NBA2k20
415,Gary Clark,69,#0,Orlando Magic,F,11/16/94,1.98,102.1,1427191,USA,2018,Undrafted,Undrafted,Cincinnati,NBA2k20
416,Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,1.96,97.5,1000000,USA,2019,2,48,Florida State,NBA2k20
417,Cam Reynolds,69,#13,Milwaukee Bucks,G,02/07/95,2.01,102.1,79568,USA,2018,Undrafted,Undrafted,Tulane,NBA2k20
418,Tyrone Wallace,69,#0,,G-F,06/10/94,1.96,90.7,502491,USA,2016,2,60,California,NBA2k20
419,Miye Oni,69,#24,Utah Jazz,F,08/04/97,1.96,95.3,898310,USA,2019,2,58,Yale,NBA2k20
420,Malcolm Miller,69,#13,Toronto Raptors,F,03/06/93,2.01,93.0,1588231,USA,2015,Undrafted,Undrafted,Holy Cross,NBA2k20
421,Isaac Bonga,68,#17,Washington Wizards,G,11/08/99,2.03,90.7,1416852,Germany,2018,2,39,,NBA2k20
422,Isaiah Hartenstein,68,#0,,F-C,05/05/98,2.13,113.4,1416852,Germany,2017,2,43,,NBA2k20
423,Jordan McRae,68,#0,Detroit Pistons,G,03/28/91,1.96,81.2,1254933,USA,2014,2,58,Tennessee,NBA2k20
424,Brandon Goodwin,68,#0,Atlanta Hawks,G,10/02/95,1.83,81.6,522738,USA,2018,Undrafted,Undrafted,Florida Gulf Coast,NBA2k20
425,Michael Frazier,68,#21,Houston Rockets,G,03/08/94,1.91,90.7,79568,USA,2015,2,60,Florida,NBA2k20
426,Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,2.08,90.7,79568,Greece,2018,Undrafted,Undrafted,Dayton,NBA2k20
427,Jalen Lecque,68,#0,Phoenix Suns,G,06/13/00,1.91,86.2,898310,USA,2019,Undrafted,Undrafted,,NBA2k20
428,Duncan Robinson,67,#55,Miami Heat,F,04/22/94,2.01,97.5,1416852,USA,2018,Undrafted,Undrafted,Michigan,NBA2k20
